date,temperature,humidity,luminosity
2022-11-17 15:23:33.127,24.6,39.1,179
2022-11-17 15:23:28.084,24.6,39.2,172
2022-11-17 15:23:23.041,24.6,39.3,180
2022-11-17 15:23:17.998,24.7,39.1,181
2022-11-17 15:23:12.954,24.7,39.2,182
2022-11-17 15:23:07.910,24.7,39.3,183
2022-11-17 15:23:02.867,24.7,39.3,181
2022-11-17 15:22:57.824,24.7,39.4,164
2022-11-17 15:22:52.781,24.6,39.4,164
2022-11-17 15:22:47.737,24.6,39.5,164
2022-11-17 15:22:42.695,24.6,39.5,164
2022-11-17 15:22:37.652,24.6,39.3,166
2022-11-17 15:22:32.609,24.6,39.3,166
2022-11-17 15:22:27.567,24.6,39.2,167
2022-11-17 15:22:22.523,24.6,39.3,164
2022-11-17 15:22:17.479,24.5,39.2,166
2022-11-17 15:22:12.435,24.6,39.1,164
2022-11-17 15:22:07.393,24.6,39.3,180
2022-11-17 15:22:02.350,24.5,39.3,176
2022-11-17 15:21:57.307,24.6,39.4,177
2022-11-17 15:21:52.264,24.6,39.5,180
2022-11-17 15:21:47.221,24.6,39.6,178
2022-11-17 15:21:42.177,24.6,39.7,179
2022-11-17 15:21:37.134,24.6,39.8,179
2022-11-17 15:21:32.090,24.6,39.8,177
2022-11-17 15:21:27.048,24.6,39.8,178
2022-11-17 15:21:22.004,24.6,39.6,174
2022-11-17 15:21:16.962,24.6,39.7,180
2022-11-17 15:21:11.919,24.6,39.7,181
2022-11-17 15:21:06.875,24.6,39.9,180
2022-11-17 15:21:01.832,24.6,39.9,181
2022-11-17 15:20:56.788,24.6,39.8,180
2022-11-17 15:20:51.744,24.6,39.8,173
2022-11-17 15:20:46.700,24.7,39.9,173
2022-11-17 15:20:41.655,24.6,39.9,173
2022-11-17 15:20:36.612,24.7,39.9,173
2022-11-17 15:20:31.568,24.6,39.7,170
2022-11-17 15:20:26.526,24.7,39.6,172
2022-11-17 15:20:21.483,24.6,39.4,170
2022-11-17 15:20:16.440,24.7,39.4,170
2022-11-17 15:20:11.398,24.7,39.3,171
2022-11-17 15:20:06.356,24.7,39.2,171
2022-11-17 15:20:01.312,24.6,39.1,172
2022-11-17 15:19:56.269,24.6,39.0,174
2022-11-17 15:19:51.225,24.6,39.1,174
2022-11-17 15:19:46.182,24.7,39.1,172
2022-11-17 15:19:41.138,24.6,39.2,145
2022-11-17 15:19:36.095,24.6,39.3,145
2022-11-17 15:19:31.052,24.6,39.4,162
2022-11-17 15:19:26.009,24.6,39.5,163
2022-11-17 15:19:20.966,24.6,39.5,165
2022-11-17 15:19:15.922,24.6,39.8,167
2022-11-17 15:19:10.878,24.6,39.8,166
2022-11-17 15:19:05.834,24.6,39.9,165
2022-11-17 15:19:00.792,24.6,40.0,164
2022-11-17 15:18:55.749,24.6,40.2,163
2022-11-17 15:18:50.706,24.6,40.1,165
2022-11-17 15:18:45.662,24.6,40.2,168
2022-11-17 15:18:40.619,24.6,40.0,153
2022-11-17 15:18:35.575,24.6,40.0,154
2022-11-17 15:18:30.531,24.5,39.9,151
2022-11-17 15:18:25.487,24.6,39.9,152
2022-11-17 15:18:20.444,24.6,39.9,149
2022-11-17 15:18:15.399,24.6,40.0,151
2022-11-17 15:18:10.356,24.6,40.1,151
2022-11-17 15:18:05.313,24.6,40.1,152
2022-11-17 15:18:00.270,24.6,40.1,152
2022-11-17 15:17:55.227,24.6,40.1,152
2022-11-17 15:17:50.183,24.6,39.9,152
2022-11-17 15:17:45.140,24.5,40.0,150
2022-11-17 15:17:40.096,24.6,40.1,171
2022-11-17 15:17:35.054,24.6,40.2,171
2022-11-17 15:17:30.010,24.6,40.4,172
2022-11-17 15:17:24.968,24.6,40.6,169
2022-11-17 15:17:19.925,24.6,41.0,157
2022-11-17 15:17:14.880,24.6,41.3,156
2022-11-17 15:17:09.838,24.6,41.2,164
2022-11-17 15:17:04.795,24.6,41.5,164
2022-11-17 15:16:59.752,24.7,41.9,170
2022-11-17 15:16:54.709,24.6,42.3,171
2022-11-17 15:16:49.665,24.7,43.2,169
2022-11-17 15:16:44.623,24.8,44.2,168
2022-11-17 15:16:39.579,24.9,45.0,170
2022-11-17 15:16:34.535,25.1,46.7,158
2022-11-17 15:16:29.492,24.6,41.3,162
2022-11-17 15:16:24.449,24.5,40.2,61
2022-11-17 15:16:19.407,24.5,40.4,158
2022-11-17 15:16:14.363,24.5,40.6,158
2022-11-17 15:16:09.320,24.5,41.0,158
2022-11-17 15:16:04.277,24.5,41.4,157
2022-11-17 15:15:59.233,24.6,41.0,157
2022-11-17 15:15:54.190,24.5,40.6,147
2022-11-17 15:15:49.148,24.6,40.4,153
2022-11-17 15:15:44.104,24.6,40.7,154
2022-11-17 15:15:39.061,24.6,40.5,154
2022-11-17 15:15:34.019,24.6,40.6,158
2022-11-17 15:15:28.975,24.5,40.6,157
2022-11-17 15:15:23.932,24.6,40.6,157
2022-11-17 15:15:18.889,24.6,40.7,159
2022-11-17 15:15:13.846,24.6,40.8,160
2022-11-17 15:15:08.803,24.6,40.6,156
2022-11-17 15:15:03.760,24.6,40.4,156
2022-11-17 15:14:58.716,24.6,40.5,156
2022-11-17 15:14:53.672,24.6,40.7,154
2022-11-17 15:14:48.629,24.6,40.3,155
2022-11-17 15:14:43.587,24.5,40.1,155
2022-11-17 15:14:38.543,24.5,40.0,155
2022-11-17 15:14:33.499,24.5,39.8,155
2022-11-17 15:14:28.457,24.5,39.6,155
2022-11-17 15:14:23.414,24.5,39.6,155
2022-11-17 15:14:18.371,24.5,39.8,158
2022-11-17 15:14:13.329,24.5,40.0,157
2022-11-17 15:14:08.286,24.5,40.0,157
2022-11-17 15:14:03.242,24.6,39.5,159
2022-11-17 15:13:58.198,24.5,39.5,156
2022-11-17 15:13:53.154,24.5,39.6,159
2022-11-17 15:13:48.112,24.6,39.7,158
2022-11-17 15:13:43.069,24.5,39.9,159
2022-11-17 15:13:38.025,24.5,40.1,159
2022-11-17 15:13:32.982,24.5,40.1,157
2022-11-17 15:13:27.939,24.5,40.3,156
2022-11-17 15:13:22.896,24.6,40.4,157
2022-11-17 15:13:17.853,24.6,40.7,161
2022-11-17 15:13:12.808,24.6,40.9,161
2022-11-17 15:13:07.766,24.6,40.7,158
2022-11-17 15:13:02.721,24.6,40.7,158
2022-11-17 15:12:57.678,24.6,40.6,156
2022-11-17 15:12:52.634,24.6,40.5,156
2022-11-17 15:12:47.591,24.6,40.6,158
2022-11-17 15:12:42.547,24.6,40.5,159
2022-11-17 15:12:37.504,24.6,40.5,156
2022-11-17 15:12:32.460,24.6,40.4,154
2022-11-17 15:12:27.417,24.6,40.4,154
2022-11-17 15:12:22.375,24.6,40.7,150
2022-11-17 15:12:17.332,24.6,41.0,144
2022-11-17 15:12:12.289,24.6,41.2,152
2022-11-17 15:12:07.246,24.6,41.5,158
2022-11-17 15:12:02.203,24.6,41.3,152
2022-11-17 15:11:57.159,24.6,41.4,116
2022-11-17 15:11:52.115,24.6,41.1,154
2022-11-17 15:11:47.071,24.6,41.1,154
2022-11-17 15:11:42.028,24.6,41.2,140
2022-11-17 15:11:36.986,24.6,41.3,141
2022-11-17 15:11:31.942,24.6,41.4,142
2022-11-17 15:11:26.898,24.6,41.1,143
2022-11-17 15:11:21.855,24.6,41.1,145
2022-11-17 15:11:16.812,24.5,40.9,144
2022-11-17 15:11:11.767,24.5,41.0,144
2022-11-17 15:11:06.724,24.6,41.2,142
2022-11-17 15:11:01.680,24.6,41.3,145
2022-11-17 15:10:56.636,24.5,41.5,144
2022-11-17 15:10:51.593,24.5,41.6,143
2022-11-17 15:10:46.550,24.6,41.7,142
2022-11-17 15:10:41.506,24.6,41.6,141
2022-11-17 15:10:36.462,24.6,41.7,141
2022-11-17 15:10:31.418,24.5,41.5,152
2022-11-17 15:10:26.374,24.6,41.5,153
2022-11-17 15:10:21.330,24.5,41.5,107
2022-11-17 15:10:16.286,24.5,41.5,138
2022-11-17 15:10:11.242,24.5,41.2,138
2022-11-17 15:10:06.199,24.5,40.9,135
2022-11-17 15:10:01.156,24.5,40.8,156
2022-11-17 15:09:56.113,24.5,40.7,154
2022-11-17 15:09:51.070,24.5,40.9,154
2022-11-17 15:09:46.027,24.4,40.6,154
2022-11-17 15:09:40.983,24.5,40.6,154
2022-11-17 15:09:35.939,24.6,40.6,155
2022-11-17 15:09:30.895,24.5,40.4,155
2022-11-17 15:09:25.853,24.5,40.5,156
2022-11-17 15:09:20.809,24.6,40.6,157
2022-11-17 15:09:15.765,24.5,40.5,125
2022-11-17 15:09:10.723,24.5,40.7,122
2022-11-17 15:09:05.679,24.5,40.8,154
2022-11-17 15:09:00.636,24.6,40.8,155
2022-11-17 15:08:55.594,24.5,40.9,156
2022-11-17 15:08:50.552,24.5,40.9,118
2022-11-17 15:08:45.509,24.5,40.8,124
2022-11-17 15:08:40.465,24.5,40.8,125
2022-11-17 15:08:35.422,24.5,40.8,124
2022-11-17 15:08:30.378,24.5,40.8,123
2022-11-17 15:08:25.334,24.4,40.8,133
2022-11-17 15:08:20.290,24.4,40.8,130
2022-11-17 15:08:15.247,24.5,40.9,153
2022-11-17 15:08:10.205,24.4,40.8,143
2022-11-17 15:08:05.162,24.4,40.7,141
2022-11-17 15:08:00.118,24.4,40.6,138
2022-11-17 15:07:55.076,24.4,40.8,158
2022-11-17 15:07:50.033,24.4,41.0,156
2022-11-17 15:07:44.990,24.4,40.9,157
2022-11-17 15:07:39.947,24.4,41.1,157
2022-11-17 15:07:34.905,24.4,41.1,158
2022-11-17 15:07:29.862,24.4,41.0,158
2022-11-17 15:07:24.819,24.4,40.9,152
2022-11-17 15:07:19.776,24.4,41.0,157
2022-11-17 15:07:14.734,24.4,41.0,156
2022-11-17 15:07:09.691,24.4,40.9,156
2022-11-17 15:07:04.647,24.4,41.1,154
2022-11-17 15:06:59.603,24.4,41.1,154
2022-11-17 15:06:54.560,24.4,41.1,153
2022-11-17 15:06:49.517,24.4,41.0,155
2022-11-17 15:06:44.474,24.4,41.0,152
2022-11-17 15:06:39.431,24.4,40.7,154
2022-11-17 15:06:34.388,24.4,40.7,153
2022-11-17 15:06:29.345,24.4,40.8,151
2022-11-17 15:06:24.301,24.4,40.7,151
2022-11-17 15:06:19.258,24.4,40.8,150
2022-11-17 15:06:14.216,24.4,40.7,155
2022-11-17 15:06:09.173,24.4,40.8,60
2022-11-17 15:06:04.131,24.4,40.5,149
2022-11-17 15:05:59.088,24.4,40.8,139
2022-11-17 15:05:54.045,24.4,40.8,155
2022-11-17 15:05:49.003,24.4,41.0,154
2022-11-17 15:05:43.959,24.3,40.8,53
2022-11-17 15:05:38.917,24.3,40.8,153
2022-11-17 15:05:33.874,24.4,40.8,157
2022-11-17 15:05:28.832,24.4,40.7,153
2022-11-17 15:05:23.789,24.4,40.7,149
2022-11-17 15:05:18.746,24.4,40.8,148
2022-11-17 15:05:13.703,24.4,40.9,155
2022-11-17 15:05:08.660,24.4,40.9,36
2022-11-17 15:05:03.617,24.4,40.9,62
2022-11-17 15:04:58.573,24.4,40.8,151
2022-11-17 15:04:53.530,24.4,40.9,155
2022-11-17 15:04:48.487,24.4,41.1,143
2022-11-17 15:04:43.443,24.4,41.4,155
2022-11-17 15:04:38.400,24.4,41.1,28
2022-11-17 15:04:33.358,24.3,41.1,29
